name,year,alterego
Spider-Man,1962,Peter Parker
Iron Man,1963,Tony Stark
Black Panther,1966,T'Challa
Wolverine,1974,James Howlett
Doctor Strange,1963,Stephen Strange
Thor,1951,Thor Odinson
Captain America,1941,Steve Rogers
Rocket Raccoon,1976,Rocket Raccoon
Vision,1968,Victor Shade
Hawkeye,1964,Clint Barton
Deadpool,1990,Wade Wilson
Human Torch,1961,Johnny Storm
Hulk,1962,Bruce Banner
Ancient One,1963,Ancient One
Hank Pym,1962,Hank Pym
Ant-Man (Scott Lang),1962,Scott Lang (The 2nd Ant-Man)
Ant-Man (Eric O'Grady),2006,Eric O'Grady
Banshee,1967,Sean Cassidy
Winter Soldier,2005, James Buchanan "Bucky" Barnes
